x,y,z
250.0,244.0,5679.7715
251.0,244.0,5676.626
252.0,244.0,5678.651
253.0,244.0,5679.761
254.0,244.0,5681.4404
255.0,244.0,5684.8657
256.0,244.0,5687.447
257.0,244.0,5687.661
258.0,244.0,5688.1826
259.0,244.0,5688.0376
260.0,244.0,5686.13
261.0,244.0,5684.748
262.0,244.0,5685.773
263.0,244.0,5687.7837
264.0,244.0,5689.6377
265.0,244.0,5689.855
266.0,244.0,5689.024
267.0,244.0,5687.7705
268.0,244.0,5685.2715
269.0,244.0,5685.031
270.0,244.0,5686.198
271.0,244.0,5687.9287
272.0,244.0,5688.442
273.0,244.0,5688.3354
274.0,244.0,5686.962
275.0,244.0,5686.306
276.0,244.0,5687.221
277.0,244.0,5687.0967
278.0,244.0,5686.9404
279.0,244.0,5685.2017
280.0,244.0,5686.135
281.0,244.0,5687.966
282.0,244.0,5688.4526
283.0,244.0,5687.8276
284.0,244.0,5687.831
285.0,244.0,5689.5825
286.0,244.0,5690.6167
287.0,244.0,5690.3516
288.0,244.0,5690.4395
289.0,244.0,5691.9946
290.0,244.0,5695.457
291.0,244.0,5698.1094
292.0,244.0,5696.363
293.0,244.0,5695.2104
294.0,244.0,5695.8643
295.0,244.0,5696.7007
296.0,244.0,5697.1177
297.0,244.0,5697.29
298.0,244.0,5697.132
299.0,244.0,5697.9097
300.0,244.0,5698.3984
301.0,244.0,5698.3877
302.0,244.0,5698.7173
303.0,244.0,5699.1616
304.0,244.0,5700.1055
305.0,244.0,5701.185
306.0,244.0,5699.776
307.0,244.0,5697.26
308.0,244.0,5696.007
309.0,244.0,5694.8394
310.0,244.0,5694.2305
311.0,244.0,5695.7617
312.0,244.0,5697.7954
313.0,244.0,5698.7983
314.0,244.0,5698.88
315.0,244.0,5699.3013
316.0,244.0,5700.654
317.0,244.0,5702.0576
318.0,244.0,5702.8975
319.0,244.0,5703.527
320.0,244.0,5704.677
321.0,244.0,5711.2744
322.0,244.0,5713.264
323.0,244.0,5707.5493
324.0,244.0,5702.4883
325.0,244.0,5701.321
326.0,244.0,5701.6743
327.0,244.0,5702.376
328.0,244.0,5703.1094
329.0,244.0,5704.0796
330.0,244.0,5704.8154
331.0,244.0,5705.455
